RuleId,Severity,IfcClass,GlobalId,Name,Path,Source,Expected,Actual,Message
"RV-SPACE-NUMBER-001","Warning","IfcSpace","16V6yknF56Lud9Pj3VCb0M","2","PSet_Revit_Identity Data.Number","Derived","Non-empty","","Property 'PSet_Revit_Identity Data.Number' must not be empty."
"RV-SPACE-NUMBER-001","Warning","IfcSpace","16V6yknF56Lud9Pj3VCb0J","3","PSet_Revit_Identity Data.Number","Derived","Non-empty","","Property 'PSet_Revit_Identity Data.Number' must not be empty."
"RV-SPACE-NUMBER-001","Warning","IfcSpace","16V6yknF56Lud9Pj3VCb0G","4","PSet_Revit_Identity Data.Number","Derived","Non-empty","","Property 'PSet_Revit_Identity Data.Number' must not be empty."
"RV-SPACE-NUMBER-001","Warning","IfcSpace","1Zygp1Q1v1dfBUV$2mWcwx","7","PSet_Revit_Identity Data.Number","Derived","Non-empty","","Property 'PSet_Revit_Identity Data.Number' must not be empty."
"RV-SPACE-NUMBER-001","Warning","IfcSpace","16V6yknF56Lud9Pj3VCb0v","5","PSet_Revit_Identity Data.Number","Derived","Non-empty","","Property 'PSet_Revit_Identity Data.Number' must not be empty."
"RV-SPACE-NUMBER-001","Warning","IfcSpace","2eiDhCjsn6jg1M5iJSblVG","6","PSet_Revit_Identity Data.Number","Derived","Non-empty","","Property 'PSet_Revit_Identity Data.Number' must not be empty."
"RV-SPACE-NAME-ANY-001","Warning","IfcSpace","1Zygp1Q1v1dfBUV$2mWcuM","","Either Attribute: Name or PSet_Revit_Identity Data.Name","Derived","Non-Empty","Attribute: ; Pset:","Expected non-empty value in either attribute 'Name' or 'PSet_Revit_Identity Data.Name'."
"RV-SPACE-NAME-ANY-001","Warning","IfcSpace","06KKTEDn1BQhtTV5Y6JwH0","","Either Attribute: Name or PSet_Revit_Identity Data.Name","Derived","Non-Empty","Attribute: ; Pset:","Expected non-empty value in either attribute 'Name' or 'PSet_Revit_Identity Data.Name'."
"RV-PHASECREATED-ENUM-002","Info","IfcDoor","3a$LdXR_z0PAMZY3ahnQvU","Door_Garage-Residential-20_Reed:J_Door_Garage_Banquet:J_Door_Garage_Banquet:247824","PSet_Revit_Phasing.Phase Created","PsetInstance","One of: New Construction, Existing","INVALID_PHASE","Property 'PSet_Revit_Phasing.Phase Created' has value 'INVALID_PHASE', expected one of [New Construction,Existing]."
"RV-PHASECREATED-ENUM-002","Info","IfcDoor","2UZk8nZH555uN4WX9U8CD5","Door_Curtain-System_Single-Acting_Medium-Stile_Vistawall_MS-375:J_Door_CurtainWall_Existing:J_Door_CurtainWall_Existing:343486","PSet_Revit_Phasing.Phase Created","PsetInstance","One of: New Construction, Existing","INVALID_PHASE","Property 'PSet_Revit_Phasing.Phase Created' has value 'INVALID_PHASE', expected one of [New Construction,Existing]."
"RV-PHASECREATED-ENUM-003","Info","IfcWindow","0k8umJDsT4yvkGTNu0cuUc","Double Hung:43"" x 96"":43"" x 96"":426563","PSet_Revit_Phasing.Phase Created","PsetInstance","One of: New Construction, Existing","INVALID_PHASE","Property 'PSet_Revit_Phasing.Phase Created' has value 'INVALID_PHASE', expected one of [New Construction,Existing]."
"RV-PHASECREATED-ENUM-003","Info","IfcWindow","0k8umJDsT4yvkGTNu0cuUw","Double Hung:43"" x 96"":43"" x 96"":426591","PSet_Revit_Phasing.Phase Created","PsetInstance","One of: New Construction, Existing","INVALID_PHASE","Property 'PSet_Revit_Phasing.Phase Created' has value 'INVALID_PHASE', expected one of [New Construction,Existing]."
"RV-PHASE-CONSIST-001","Info","IfcDoor","1pv1l8Eyj9NRjluTGH7VkT","Single-Flush:36"" x 84"":36"" x 84"":213743","PSet_Revit_Identity Data.Scheduled == PSet_Revit_Phasing.Phase Created","Derived","PSet_Revit_Identity Data.Scheduled = PSet_Revit_Phasing.Phase Created","actual: PSet_Revit_Identity Data.Scheduled='Existing', PSet_Revit_Phasing.Phase Created='New Construction'","Mismatch: 'PSet_Revit_Identity Data.Scheduled' = 'Existing' but 'PSet_Revit_Phasing.Phase Created' = 'New Construction'."
"RV-PHASE-CONSIST-001","Info","IfcDoor","1YoBPpRQ91af1s81EWQwK0","Single-Flush:36"" x 84"":36"" x 84"":215513","PSet_Revit_Identity Data.Scheduled == PSet_Revit_Phasing.Phase Created","Derived","PSet_Revit_Identity Data.Scheduled = PSet_Revit_Phasing.Phase Created","actual: PSet_Revit_Identity Data.Scheduled='Existing', PSet_Revit_Phasing.Phase Created='New Construction'","Mismatch: 'PSet_Revit_Identity Data.Scheduled' = 'Existing' but 'PSet_Revit_Phasing.Phase Created' = 'New Construction'."
"RV-PHASE-CONSIST-001","Info","IfcDoor","0JWrclovzBKB1mtcgEMnWh","Single-Flush:36"" x 84"":36"" x 84"":242143","PSet_Revit_Identity Data.Scheduled == PSet_Revit_Phasing.Phase Created","Derived","PSet_Revit_Identity Data.Scheduled = PSet_Revit_Phasing.Phase Created","actual: PSet_Revit_Identity Data.Scheduled='Existing', PSet_Revit_Phasing.Phase Created='New Construction'","Mismatch: 'PSet_Revit_Identity Data.Scheduled' = 'Existing' but 'PSet_Revit_Phasing.Phase Created' = 'New Construction'."
"RV-PHASE-CONSIST-001","Info","IfcDoor","2UZk8nZH555uN4WX9U8CD5","Door_Curtain-System_Single-Acting_Medium-Stile_Vistawall_MS-375:J_Door_CurtainWall_Existing:J_Door_CurtainWall_Existing:343486","PSet_Revit_Identity Data.Scheduled == PSet_Revit_Phasing.Phase Created","Derived","PSet_Revit_Identity Data.Scheduled = PSet_Revit_Phasing.Phase Created","actual: PSet_Revit_Identity Data.Scheduled='Existing', PSet_Revit_Phasing.Phase Created='INVALID_PHASE'","Mismatch: 'PSet_Revit_Identity Data.Scheduled' = 'Existing' but 'PSet_Revit_Phasing.Phase Created' = 'INVALID_PHASE'."
"RV-PHASE-CONSIST-002","Info","IfcWindow","0k8umJDsT4yvkGTNu0cuUc","Double Hung:43"" x 96"":43"" x 96"":426563","PSet_Revit_Identity Data.Scheduled == PSet_Revit_Phasing.Phase Created","Derived","PSet_Revit_Identity Data.Scheduled = PSet_Revit_Phasing.Phase Created","actual: PSet_Revit_Identity Data.Scheduled='Existing', PSet_Revit_Phasing.Phase Created='INVALID_PHASE'","Mismatch: 'PSet_Revit_Identity Data.Scheduled' = 'Existing' but 'PSet_Revit_Phasing.Phase Created' = 'INVALID_PHASE'."
"RV-PHASE-CONSIST-002","Info","IfcWindow","0k8umJDsT4yvkGTNu0cuUw","Double Hung:43"" x 96"":43"" x 96"":426591","PSet_Revit_Identity Data.Scheduled == PSet_Revit_Phasing.Phase Created","Derived","PSet_Revit_Identity Data.Scheduled = PSet_Revit_Phasing.Phase Created","actual: PSet_Revit_Identity Data.Scheduled='Existing', PSet_Revit_Phasing.Phase Created='INVALID_PHASE'","Mismatch: 'PSet_Revit_Identity Data.Scheduled' = 'Existing' but 'PSet_Revit_Phasing.Phase Created' = 'INVALID_PHASE'."
"RV-PHASE-CONSIST-002","Info","IfcWindow","0k8umJDsT4yvkGTNu0cuUR","Double Hung:43"" x 96"":43"" x 96"":426622","PSet_Revit_Identity Data.Scheduled == PSet_Revit_Phasing.Phase Created","Derived","PSet_Revit_Identity Data.Scheduled = PSet_Revit_Phasing.Phase Created","actual: PSet_Revit_Identity Data.Scheduled='Existing', PSet_Revit_Phasing.Phase Created='New Construction'","Mismatch: 'PSet_Revit_Identity Data.Scheduled' = 'Existing' but 'PSet_Revit_Phasing.Phase Created' = 'New Construction'."
"RV-PHASE-CONSIST-002","Info","IfcWindow","0k8umJDsT4yvkGTNu0cuTE","Double Hung:43"" x 96"":43"" x 96"":426667","PSet_Revit_Identity Data.Scheduled == PSet_Revit_Phasing.Phase Created","Derived","PSet_Revit_Identity Data.Scheduled = PSet_Revit_Phasing.Phase Created","actual: PSet_Revit_Identity Data.Scheduled='Existing', PSet_Revit_Phasing.Phase Created='New Construction'","Mismatch: 'PSet_Revit_Identity Data.Scheduled' = 'Existing' but 'PSet_Revit_Phasing.Phase Created' = 'New Construction'."
"RV-PHASE-CONSIST-002","Info","IfcWindow","0k8umJDsT4yvkGTNu0cuS$","Double Hung:43"" x 96"":43"" x 96"":426714","PSet_Revit_Identity Data.Scheduled == PSet_Revit_Phasing.Phase Created","Derived","PSet_Revit_Identity Data.Scheduled = PSet_Revit_Phasing.Phase Created","actual: PSet_Revit_Identity Data.Scheduled='Existing', PSet_Revit_Phasing.Phase Created='New Construction'","Mismatch: 'PSet_Revit_Identity Data.Scheduled' = 'Existing' but 'PSet_Revit_Phasing.Phase Created' = 'New Construction'."
"RV-DOOR-ID-001","Warning","IfcDoor","1pv1l8Eyj9NRjluTGH7VkT","Single-Flush:36"" x 84"":36"" x 84"":213743","Either(Pset:PSet_Revit_Identity Data.Mark, Pset:PSet_Revit_Type_Identity Data.Type Mark)","Derived","Non-empty","PSet_Revit_Identity Data.Mark=', PSet_Revit_Type_Identity Data.Type Mark='","Expected non-empty value in either 'PSet_Revit_Identity Data.Mark' or 'PSet_Revit_Type_Identity Data.Type Mark'."
"RV-DOOR-ID-001","Warning","IfcDoor","1YoBPpRQ91af1s81EWQwK0","Single-Flush:36"" x 84"":36"" x 84"":215513","Either(Pset:PSet_Revit_Identity Data.Mark, Pset:PSet_Revit_Type_Identity Data.Type Mark)","Derived","Non-empty","PSet_Revit_Identity Data.Mark=', PSet_Revit_Type_Identity Data.Type Mark='","Expected non-empty value in either 'PSet_Revit_Identity Data.Mark' or 'PSet_Revit_Type_Identity Data.Type Mark'."
"RV-DOOR-ID-001","Warning","IfcDoor","0JWrclovzBKB1mtcgEMnWh","Single-Flush:36"" x 84"":36"" x 84"":242143","Either(Pset:PSet_Revit_Identity Data.Mark, Pset:PSet_Revit_Type_Identity Data.Type Mark)","Derived","Non-empty","PSet_Revit_Identity Data.Mark=', PSet_Revit_Type_Identity Data.Type Mark='","Expected non-empty value in either 'PSet_Revit_Identity Data.Mark' or 'PSet_Revit_Type_Identity Data.Type Mark'."
"RV-DOOR-ID-001","Warning","IfcDoor","2UZk8nZH555uN4WX9U8CD5","Door_Curtain-System_Single-Acting_Medium-Stile_Vistawall_MS-375:J_Door_CurtainWall_Existing:J_Door_CurtainWall_Existing:343486","Either(Pset:PSet_Revit_Identity Data.Mark, Pset:PSet_Revit_Type_Identity Data.Type Mark)","Derived","Non-empty","PSet_Revit_Identity Data.Mark=', PSet_Revit_Type_Identity Data.Type Mark='","Expected non-empty value in either 'PSet_Revit_Identity Data.Mark' or 'PSet_Revit_Type_Identity Data.Type Mark'."
