RuleId,Severity,IfcClass,GlobalId,Name,Message
"R002","Warning","IfcSlab","0ZTBBPo6f6bxqV2K7Oelrq","house - roof - slab left","Element is not contained in a spatial structure (storey/building)."
"R002","Warning","IfcSlab","12UVOn4wvAJPMUExKdZLb8","house - roof - slab right","Element is not contained in a spatial structure (storey/building)."
"W301","Error","IfcWall","1AQAupaRP1txwK1AGiN61V","house - outer wall - house right front","Property 'IsExternal' in 'Pset_WallCommon' is missing or not a boolean."
"W301","Error","IfcWall","3wdauVJT5Fx9drrREiDqA$","house - outer wall - house right back","Property 'IsExternal' in 'Pset_WallCommon' is missing or not a boolean."
"W301","Error","IfcWall","0OfZwWc8j9QP5uX8xPTxDH","house - outer wall - house left","Property 'IsExternal' in 'Pset_WallCommon' is missing or not a boolean."
"W301","Error","IfcWall","1uS5vfZPn9R8PlAaVd73on","plumbing wall","Property 'IsExternal' in 'Pset_WallCommon' is missing or not a boolean."
"W302","Warning","IfcWall","1AQAupaRP1txwK1AGiN61V","house - outer wall - house right front","Property 'LoadBearing' in 'Pset_WallCommon' is missing or not a boolean."
"W302","Warning","IfcWall","3wdauVJT5Fx9drrREiDqA$","house - outer wall - house right back","Property 'LoadBearing' in 'Pset_WallCommon' is missing or not a boolean."
"W302","Warning","IfcWall","0OfZwWc8j9QP5uX8xPTxDH","house - outer wall - house left","Property 'LoadBearing' in 'Pset_WallCommon' is missing or not a boolean."
"W302","Warning","IfcWall","1uS5vfZPn9R8PlAaVd73on","plumbing wall","Property 'LoadBearing' in 'Pset_WallCommon' is missing or not a boolean."
"S301","Warning","IfcSlab","3zR0BOEcLADRKln4HYporH","floor","Property 'IsExternal' in 'Pset_SlabCommon' is missing or not a boolean."
"S301","Warning","IfcSlab","0ZTBBPo6f6bxqV2K7Oelrq","house - roof - slab left","Property 'IsExternal' in 'Pset_SlabCommon' is missing or not a boolean."
"S301","Warning","IfcSlab","12UVOn4wvAJPMUExKdZLb8","house - roof - slab right","Property 'IsExternal' in 'Pset_SlabCommon' is missing or not a boolean."
